Date,Description,Amount,Type,Category,Payment Mode
2024-11-01,Grocery Store - Weekly Shopping,125.50,expense,Food & Dining,Credit Card
2024-11-01,Salary Credit - October,3500.00,income,Salary,Bank Transfer
2024-11-02,Coffee at Starbucks,8.75,expense,Food & Dining,Credit Card
2024-11-02,Uber Ride to Office,15.20,expense,Transportation,UPI
2024-11-03,Electricity Bill Payment,89.40,expense,Bills & Utilities,Net Banking
2024-11-03,Freelance Project Payment,750.00,income,Business,UPI
2024-11-04,Mobile Recharge,25.00,expense,Bills & Utilities,Digital Wallet
2024-11-04,Movie Tickets,35.00,expense,Entertainment,Credit Card
2024-11-05,Medical Checkup,150.00,expense,Healthcare,Cash
2024-11-05,Book Purchase on Amazon,28.99,expense,Education,Credit Card
2024-11-06,Gift for Friend's Birthday,50.00,expense,Gift,Cash
2024-11-06,Side Business Income,200.00,income,Business,Cash
2024-11-07,Gym Membership,99.00,expense,Healthcare,UPI
2024-11-07,Restaurant Dinner,85.60,expense,Food & Dining,Credit Card
2024-11-08,Investment SIP,500.00,expense,Investment,Bank Transfer
2024-11-08,Bonus from Company,1000.00,income,Salary,Bank Transfer
2024-11-09,Petrol Fill-up,60.00,expense,Transportation,Credit Card
2024-11-09,Online Course Purchase,199.00,expense,Education,Credit Card
2024-11-10,Dividend Income,75.00,income,Investment,Bank Transfer
2024-11-10,Grocery Store - Vegetables,45.30,expense,Food & Dining,Cash
