Transaction Date,Particulars,Value,Transaction Type,Category,Method
01-Nov-24,Grocery Shopping at Walmart,125.50,Debit,Food,Credit Card
01-Nov-24,Monthly Salary Credited,3500.00,Credit,Income,Bank Transfer
02-Nov-24,Coffee Purchase,8.75,Debit,Food,Credit Card
02-Nov-24,Transportation - Cab,15.20,Debit,Travel,UPI
03-Nov-24,Electricity Bill,89.40,Debit,Utilities,Net Banking
03-Nov-24,Freelance Payment Received,750.00,Credit,Work,UPI
04-Nov-24,Phone Bill Recharge,25.00,Debit,Bills,Digital Wallet
04-Nov-24,Cinema Entertainment,35.00,Debit,Fun,Credit Card
05-Nov-24,Doctor Visit,150.00,Debit,Health,Cash
05-Nov-24,Educational Books,28.99,Debit,Learning,Credit Card
